ID_ENTIDAD,NOMBRE_ENTIDAD,CANTIDAD_DEUDORES,MONTO_TOTAL,MONTO_PREVISIONES,MONTO_SIT_1,MONTO_SIT_2,MONTO_SIT_3,MONTO_SIT_4,MONTO_SIT_5,MONTO_SIT_11
50004,ARGENPYMES SGR,549,7028834.0,0.0,978182.0,810334.0,1851036.0,1795071.0,1594211.0,0.0
50005,AVAL FEDERAL SGR,15,561686.0,0.0,0.0,108669.0,51987.0,4833.0,396197.0,0.0
50007,AVAL RURAL SGR,16,210034.0,0.0,1245.0,71975.0,77455.0,22702.0,36657.0,0.0
50009,CAMPO AVAL SGR,11,140179.0,0.0,0.0,19839.0,72911.0,18716.0,28713.0,0.0
50010,Poder SGR,9,19128.0,0.0,5362.0,0.0,13534.0,96.0,136.0,0.0
50011,CUYO AVAL SGR,13,78866.0,0.0,55402.0,11706.0,0.0,0.0,11758.0,0.0
50012,DON MARIO SGR,3,35314.0,0.0,13874.0,0.0,0.0,0.0,21440.0,0.0
50013,GARANTÍA DE VALORES SGR,277,2492352.0,0.0,147305.0,322233.0,729741.0,1080678.0,212395.0,0.0
50014,GARANTIZAR SGR,2417,24879677.0,0.0,2480782.0,3760693.0,5395267.0,6016696.0,7226239.0,0.0
50015,INTEGRA PYMES SGR,16,281594.0,0.0,29775.0,18368.0,150297.0,72690.0,10464.0,0.0
50017,PROMOVER SGR,24,403559.0,0.0,3426.0,49840.0,350293.0,0.0,0.0,0.0
50018,POTENCIAR SGR,80,303519.0,0.0,0.0,101024.0,94059.0,103977.0,4459.0,0.0
50020,AFB AVALES S.G.R.,38,285101.0,0.0,176265.0,59677.0,35649.0,10429.0,3081.0,0.0
50021,AVAL AR SGR,10,312266.0,0.0,0.0,95595.0,8268.0,208403.0,0.0,0.0
50023,UNION SGR,38,295052.0,0.0,7037.0,9164.0,112557.0,36567.0,129727.0,0.0
50024,AVAL FERTIL SGR,1,2033.0,0.0,0.0,0.0,0.0,0.0,2033.0,0.0
50025,AVALES DEL CENTRO SGR,14,32532.0,0.0,889.0,8018.0,12500.0,5403.0,5722.0,0.0
50026,CRECER SGR,77,360908.0,0.0,37156.0,84148.0,86255.0,29009.0,124340.0,0.0
50028,AVALUAR S.G.R.,21,238007.0,0.0,36145.0,0.0,149804.0,0.0,52058.0,0.0
50030,Confiables S.G.R.,11,79838.0,0.0,15479.0,5962.0,33517.0,24880.0,0.0,0.0
50032,RESILIENCIA SGR,34,303991.0,0.0,41794.0,14078.0,45049.0,97413.0,105657.0,0.0
50033,Crédito Argentino S.G.R.,8,199386.0,0.0,150380.0,47123.0,0.0,1883.0,0.0,0.0
50034,Rig Avales S.G.R,14,71121.0,0.0,23989.0,24154.0,20649.0,1963.0,366.0,0.0
50035,Conaval S.G.R.,8,328613.0,0.0,26064.0,3755.0,234935.0,63859.0,0.0,0.0
50036,Móvil S.G.R.,83,1047474.0,0.0,51649.0,20056.0,108321.0,61136.0,806312.0,0.0
50037,FIDEM SGR,20,255326.0,0.0,70104.0,70690.0,92647.0,3330.0,18555.0,0.0
50038,INNOVA SGR,20,255326.0,0.0,70104.0,70690.0,92647.0,3330.0,18555.0,0.0
50039,FINTECH SGR,230,6972388.0,0.0,287694.0,1477527.0,1798416.0,2676364.0,732387.0,0.0
50040,MILLS SGR,36,1182956.0,0.0,98903.0,404921.0,412827.0,241795.0,24510.0,0.0
50041,ALIANZA S.G.R.,68,2195811.0,0.0,33792.0,196803.0,449029.0,1298584.0,217603.0,0.0
50042,SOLIDUM S.G.R.,1,8639.0,0.0,8639.0,0.0,0.0,0.0,0.0,0.0
50043,Neuquèn Pymes SGR,12,43018.0,0.0,9960.0,26827.0,532.0,0.0,5699.0,0.0
50044,Trend SGR,7,88792.0,0.0,22978.0,51003.0,1144.0,0.0,13667.0,0.0
50046,Argentina Ciudad S.G.R.,30,246243.0,0.0,9802.0,43275.0,131562.0,52354.0,9250.0,0.0
51001,FONDO DE GARANTÍAS BUENOS AIRES SAPEM (FOGABA SAPEM),2418,25843667.0,0.0,2500601.0,5127933.0,5963880.0,5513825.0,6737428.0,0.0
51002,FONDO DE GARANTÍAS DEL CHACO (FOGACH),9,40642.0,0.0,4870.0,1838.0,1795.0,0.0,32139.0,0.0
51003,FONDO DE GARANTÍAS ARGENTINO,57490,13387157.0,0.0,36806.0,248886.0,1030243.0,1426292.0,10644930.0,0.0
51004,Fondo de Garantía Público La Rioja Sociedad Anónima Unipersonal,136,971823.0,0.0,16324.0,158073.0,153115.0,184710.0,459601.0,0.0
51005,Garantía San Juan SAPEM,14,98159.0,0.0,0.0,0.0,0.0,61892.0,36267.0,0.0
51006,Fondo de garantía para el Desarrollo Fueguino S.A.P.E.M. (FODADEF),16,163610.0,0.0,0.0,0.0,124145.0,32959.0,6506.0,0.0
51007,Fideicomiso de Afectación Específica para Garantizar Pymes No Sujetas,2,10842.0,0.0,0.0,9176.0,0.0,1666.0,0.0,0.0
51008,Fondo de Garantías Entre Ríos S.A.P.E.M. (FO.GA.ER. S.A.P.E.M.),1,7219.0,0.0,0.0,0.0,0.0,0.0,7219.0,0.0
51009,Fideicomiso de Garantías Pampeanas (FoGaPam),41,339254.0,0.0,1716.0,21415.0,45271.0,76975.0,193877.0,0.0
